name,area,salary_from,salary_to,employer_name,published_at,schedule,responsibility,requirement
Менеджер по продаже сельскохозяйственной техники,Тюмень,,,АгроЦентр,2020-10-06T15:15:54+0300,Полный день,Продажа сельскохозяйственной техники. Активный поиск клиентов. Проведение переговоров. Полное документальное сопровождение сделок. Контроль за ходом сделки до поставки техники клиенту. ,"Опыт успешных продаж в аналогичной отрасли. Высшее аграрное образование (желательно). Уверенный пользователь ПК (пакет Office, 1C). Готовность к командировкам."
Водитель-экспедитор,Тюмень,80000,120000,"Ниагара, национальная водная компания",2020-10-01T07:51:02+0300,Полный день,Компания автомобиль не предоставляет. Доставка воды и сопутствующих товаров юридическим и физическим лицам по городу Тюмень.,"Водительское удостоверение категории B. Общий стаж вождения - не менее 3 лет, на автомобилях Газель или других габаритных автомобилях - не менее..."
Системный аналитик,Тюмень,70000,,"ХОСТ, Группа компаний",2020-09-24T10:29:50+0300,Полный день,"Помогают формировать, выгружать и отправлять отчеты больницам и поликлиникам на уровень Минздрава. Помогают пациентам записываться на прием к врачам. ","Опыт системного анализа. Знание принципов построения баз данных, углубленные знания языка SQL. Понимание принципов разработки веб-приложений. Понимание принципов и..."
Менеджер по продажам услуг (по готовой базе клиентов),Тюмень,45000,60000,Комфорт Сервис,2020-10-13T20:50:25+0300,Полный день,"Компания Комфорт Сервис - является одним из лидеров на рынке ремонтно-строительных услуг. Наши специалисты ежедневно решают самые сложные задачи, удовлетворяя...","Опыт активных продаж приветствуется(но не обязателен) . * Коммуникативные навыки, доброжелательность. * Нам требуются энергичные и амбициозные менеджеры с желанием хорошо зарабатывать. * "
Менеджер активных продаж (b2b),Тюмень,40000,,КрепыЖ,2020-09-30T09:13:48+0300,Полный день,"Выполнение планов продаж. - Ведение действующей КБ по юр. лицам: согласование договоров, контроль отгрузки, счетов, дебиторской задолженности. - Активный поиск Нового клиента...",Активность и мобильность. - Нацеленность на результат. - Высокая обучаемость. - Коммуникабельность. - Опыт личных продаж или огромное желание научиться продавать.
Менеджер по продажам (малоэтажное строительство),Тюмень,44500,90000,Строительный Двор,2020-10-09T14:02:55+0300,Полный день,"Искать, назначать встречи с клиентами (малоэтажное строительство, отделка квартир и тд). Расширять круг контактов по каждому клиенту. Выстраивать длительные отношения...",
Кассир торгового зала,Тюмень,25300,40000,Строительный Двор,2020-10-06T13:33:18+0300,Полный день,"Приветливо обслуживать покупателей на кассе. Составлять кассовую отчетность. Помогать покупателям решить возникающие задачи. Работать быстро, аккуратно и точно.",Доброжелательный и открытый человек. Ответственный и быстрый. Вы радушно принимаете покупателей в любом настроении.
Главный инженер проекта (проектирование многоэтажных жилых домов),Тюмень,80000,,Страна Девелопмент,2020-10-06T16:18:01+0300,Полный день,"Ведение проекта (проектирование жилых многоквартирных зданий) на всех стадиях в г. Тюмени и других городах присутствия (москва, Санкт-Петербург, Екатеринбург). ","Высшее профильное (строительное) образование. Опыт работы в руководящей должности. Знание нормативных актов, СНиП, СП. Умение отстаивать свои решения в экспертизе. "
Продавец-консультант,Тюмень,25000,35000,Лидер,2020-10-14T13:50:20+0300,Сменный график,Вежливое обслуживание покупателей согласно стандартам компании. Оформление витрин и выкладка товара. Работа с ценниками. Ротация товара. Поддержание порядка в магазине.,Желание работать и зарабатывать. Умение быстро устанавливать контакт с разными людьми. Честность и ответственность. Доброжелательность и позитивный взгляд на жизнь. 
Руководитель/заместитель руководителя коммерческого отдела (в проектировании),Тюмень,,,"Промтехбезопасность, ИКЦ, Тюменский филиал",2020-10-07T09:29:47+0300,Полный день,Стратегическое планирование и реализация планов продаж. Оценка и анализ привлекательности перспективных проектов. Активный поиск Заказчиков. Выявление и формирование потребностей у...,"Высшее образование (строительство, эксплуатация объектов). Опыт работы в инжиниринговых (проектирование, строительство) компаниях в должности зам.руководителя по развитию, зам.руководителя по продажам..."
Продавец-кассир ( ватутина),Тюмень,25000,,КС Интернешнл,2020-10-09T10:05:45+0300,Гибкий график,Работа на кассе.,Наличие медицинской книжки или готовность ее оформить за время стажировки. (Компания готова предоставить направление в медицинский центр). Опыт работы не...
"Ученик ""Автомаляра""",Тюмень,30000,80000,Автоград Центр,2020-10-14T11:42:06+0300,Полный день,Подборка покрасочного материала. Подготовка поверхности автомобиля к покраске. Покраска деталей.,Желание обучиться новому направлению. Умение работать в коллективе.
Кладовщик - комплектовщик в магазин,Тюмень,27000,42000,Строительный Двор,2020-10-12T14:19:51+0300,Сменный график,погрузо-разгрузочные работы на складе. - отгрузка товара клиентам. - поддержание порядка на складе. - сборка товара.,"готовность к физическому труду. - ответственность, обучаемость, доброжелательность, энергичность."
Водитель такси,Тюмень,,95000,Подключение водителей к сервису Максим,2020-10-03T08:30:56+0300,Гибкий график,"Работа водителем. Водитель такси (категория В,С ежедневный доход). Работай с заказами в удобном приложении: предлагай цену поездки! ","Знание города. Аккуратное вождение, соблюдение ПДД. Потребуется паспорт и водительское удостоверение."
Врач-ортодонт,Тюмень,,,Жемчужина,2020-10-13T07:24:06+0300,Полный день,"Консультативный прием. Диагностика, составление плана лечения. Прием пациентов.",Опыт работы от 1 года в частных клиниках по специализации ортодонтия. Наличие медицинской книжки. Наличие действующего сертификата по ортодонтии. 
Руководитель отдела интернет-маркетинга,Тюмень,,120000,Академия современных технологий,2020-10-13T14:43:39+0300,Полный день,"Лидогенерация для 6 отделов продаж. Развитие и оптимизация продающих сайтов. Повышение конверсии. Аналитика по рекламе и продажам, работа с ROIstat. ",Опыт работы в системах контекстной рекламы Яндекс.Директ и Google.Adwords. Знания на уровне эксперта Google.Analytics и Яндекс.Метрики. Опыт внедрения и работы...
Руководитель интернет-портала,Тюмень,60000,120000,Академия современных технологий,2020-10-09T10:10:41+0300,Полный день,"Коммерческое развитие портала с выводом проекта на окупаемость и прибыль. Формирование команды и организация работы (поиск программистов, дизайнеров, копирайтеров, контент...","Наличие портфолио развития и продвижения цифровых проектов. Опыт коммерческой работы желателен. Наличие успешных кейсов в сфере работы СМИ, интернет-порталов..."
Специалист по аренде,Тюмень,50000,,Сова,2020-10-08T07:19:24+0300,Полный день,Консультации клиентов по объектам недвижимости и проведение переговоров. Подготовка рекламы и презентации объектов недвижимости. Подбор объекта по критериям клиента. ,Владение навыками коммуникации. Ответственность и пунктуальность. Стрессоустойчивость. Желание много работать и много зарабатывать.
Менеджер по работе с клиентами,Тюмень,33000,,МТС,2020-10-13T13:11:29+0300,Гибкий график,Продвигать услуги домашнего Интернета и цифрового телевидения. Совершать исходящие звонки по готовой базе клиентов (без поиска).,"Опыт работы от 3 лет. Грамотная устная и письменная речь, умение выявлять потребность клиента."
Специалист по продажам услуг,Тюмень,33000,,МТС,2020-10-12T11:49:33+0300,Гибкий график,Работаешь на выделенной территории. Распространяешь рекламные и промо-материалы компании. Привлекаешь новых абонентов. Получаешь входящие звонки и оформляешь заявки на...,"Опыт работы от 3 лет. Грамотная устная и письменная речь, умение выявлять потребность клиента."
Мастер строительного участка,Тюмень,50000,50000,Тюменьинвестстрой,2020-09-22T10:55:11+0300,Полный день,Руководство бригадами рабочих и спец.техники. Оперативное решение производственных задач. Обеспечение динамики и эффективности рабочего процесса. Выполнение плана работ на участке...,"Высшее/среднее профессиональное образование (ПГС), средний балл по диплому - не менее 4-х баллов. Опыт работы в области каркасно-монолитного..."
Разработчик PHP,Тюмень,40000,40000,"Восток, Энергосбытовая компания",2020-09-30T11:43:44+0300,Полный день,Разработка программного кода (BackEnd) высоконагруженной системы.,"Знание PHP 7.x. Понимание принципов MVC в программировании. Опыт работы с популярными PHP фреймворками. Знание SQL, JavaScript, CSS, HTML. "
Автослесарь - универсал,Тюмень,30000,60000,Автоград Центр,2020-09-24T08:55:32+0300,Сменный график,Выполнение ремонтных работ разного уровня сложности на сервисе.,Знание общего устройства автомобилей. Опыт работы автослесарем отечественных или импортных авто от 1 года. Готовность обучаться и проходить сертификацию. 
Продавец-консультант (50 лет октября 8/1),Тюмень,,25000,КрепыЖ,2020-09-28T13:20:18+0300,Полный день,"Консультация, демонстрация, продажа товара. Прием товара со склада, осуществление предпродажной подготовки и выкладки товара в торговом зале. Участие в инвентаризациях...","Коммуникабельность, грамотная речь, обучаемость. Желание работать. Ответственность. Стрессоустойчивость. Опыт в работы в розничных продажах - приветствуется."
Специалист по обработке входящих обращений,Тюмень,28000,,Правовой Информационный Центр,2020-10-12T15:37:50+0300,Полный день,Первичное консультирование клиента по телефону (без поиска клиентов). Полное выяснение ситуации. Назначение встречи с юристом. Передача информации по клиенту юристу. ,"Грамотная устная речь. Владение ПК на уровне пользователя. Логическое мышление. Вежливость, пунктуальность, обучаемость. Рассматриваем кандидатов без опыта работы."
Помощник юриста,Тюмень,28000,,Правовой Информационный Центр,2020-10-07T17:15:08+0300,Полный день,Консультирование клиентов по телефону по юридическим вопросам. Прием и распределение входящих звонков. Назначение клиенту встречи со специалистом.,"Грамотная устная речь. Владение ПК на уровне пользователя. Логическое мышление. Вежливость, пунктуальность, обучаемость. Рассматриваем кандидатов без опыта работы."
Менеджер по работе с клиентами,Тюмень,28000,,Правовой Информационный Центр,2020-09-28T12:39:40+0300,Полный день,"Прием входящих звонков и их распределение. Обработка входящих заявок от заинтересованных клиентов (без продаж). Выявление потребностей клиентов, консультация, назначение встречи...","Грамотная устная речь. Владение ПК на уровне пользователя. Логическое мышление. Вежливость, пунктуальность, обучаемость. Рассматриваем кандидатов без опыта работы."
"Электромонтер по ремонту и обслуживанию электрооборудования, 4 разряда (Тюм. район, п.Червишево)",Тюмень,30000,30000,Тюмень Водоканал,2020-10-07T09:28:20+0300,Полный день,"Выполнение ежедневного осмотра технологического и вспомогательного оборудования. Определение характера неисправности электроприводной запорной арматуры, насосного оборудования, оборудования электролизной. Техническое обслуживание трансформаторных...",Среднее профессиональное образование. Наличие удостоверения по профессии &quot;Электромонтер по ремонту и обслуживанию электрооборудования 4 разряда&quot;. Опыт работы в сфере электроэнергетики...
Врач-хирург,Тюмень,,103442,"СОГАЗ, Международный медицинский центр",2020-10-14T09:57:13+0300,Гибкий график,"Оказание качественной медицинской помощи в новом современном многопрофильном медицинском центре в г.Тобольск. Внедрение в практику новых современных методов профилактики, диагностики...","Действительно любите свою профессию и забота о здоровье пациентов – ваше призвание. Имеете широкий кругозор знаний , в том числе , и по..."
Главный/ведущий специалист линейного отдела,Тюмень,,,"Промтехбезопасность, ИКЦ, Тюменский филиал",2020-10-07T09:29:47+0300,Полный день,"Разработка технологических разделов проектной и рабочей документации, пояснительных записок, технологических схем и регламентов. Выполнение необходимых технологических расчетов. Принятие и обоснование...","Опыт разработки проектной и рабочей документации линейной части трубопроводов (нефтегазосборные сети, водоводы, напорные нефтепроводы). Владение расчетными программами (СТАРТ, PIPESIM) для..."
"Слесарь по ремонту грузовых автомобилей (MAN, MERCEDES, SCANIA, VOLVO, IVECO, KAMAZ)",Тюмень,40000,80000,ЕвроТехСервис,2020-09-25T12:04:49+0300,Вахтовый метод,"Техническое обслуживание и ремонт грузовых а/м европейского производства (MAN, MERCEDES - BENZ, VOLVO, SCANIA). Выполнять в полном объеме с высоким...","Опыт работы на аналогичной должности от 3 лет!. Опыт ремонта (трансмиссии, подвески) грузового а/м европейского производства. Знание устройства грузового..."
Инженер-аналитик,Тюмень,,,"Восток, Энергосбытовая компания",2020-09-30T11:43:45+0300,Полный день,"Анализ бизнес-процессов предметной области. Формализация требований заказчиков, обсуждение и согласование возможных решений с заказчиками и разработчиками. Постановка отдельных технических...","Понимание принципов разработки программного обеспечения. Владение методиками бизнес-анализа, формализации предметной области. Опыт работы с системами багтрекинга и управления проектами. "
Специалист по развитию сбытовой деятельности физ. лицам (методология),Тюмень,42000,42000,"Восток, Энергосбытовая компания",2020-09-30T11:43:44+0300,Полный день,"Методическое сопровождение работы с программными комплексами Общества, подготавливает заявки на обновление (доработку) действующего функционала, отчетов, печатных форм документов, приведение в...","Высшее экономическое / техническое образование. Способность анализировать и структурировать информацию. Грамотный пользователь офисных программ (Excel. Word, Power Point, Visio)."
Водитель-экспедитор с категорией Е,Тюмень,90000,100000,Спарта,2020-10-12T17:17:09+0300,Вахтовый метод,"Качественная и своевременная доставка грузов по России с соблюдением температурных режимов (рефрижератор). Экспедирование грузов, оформление сопроводительной документации. Соблюдение ПДД, сохранность...",Опыт работы в перевозках по РФ обязателен. Водительский стаж по категории Е от 1 года (подтвержденный по трудовой книжке). 
Заместитель директора магазина,Тюмень,34000,50000,Перекресток,2020-10-13T10:43:25+0300,Полный день,"Организация торгового процесса, обеспечивая соблюдение работниками магазина установленных правил и стандартов приемки, выкладки и продажи товаров. -Обеспечение выполнения бюджета по...",Опыт работы от 3 лет на управленческих позициях в сфере розничной торговли. -Высшее образование. -Навыки управления коллективом от 10 человек.
Специалист отдела продаж (помощник менеджера),Тюмень,25000,,Тюменская фабрика бумажных изделий,2020-10-12T11:01:55+0300,Полный день,"Работа с корпоративными клиентами (сопровождение продаж, выполнение плана продаж по закрепленной клиентской базе). Подготовка коммерческих предложений в программе 1С...","Желание работать с клиентами, оказывать им профессиональный, качественный сервис, опыт работы с корпоративными клиентами (продажа непродовольственных товаров). Пунктуальность, дисциплинированность, аккуратность. "
"Администратор магазина (Тюменская обл, г Тюмень, ул Ямская, д 50/1)",Тюмень,24000,35000,Пятёрочка,2020-09-29T19:49:17+0300,Полный день,"Организация работы магазина. Контроль работы сотрудников. Выполнение плана по товарообороту, минимизация потерь. Взаимодействие с проверяющими органами. Ведение отчетности и анализ...","Образование не ниже среднего профессионального. Управленческий опыт работы от 0,5 года (желательно). Опыт работы в ритейле от 0,5..."
Инженер ПТО,Тюмень,50000,,Страна Девелопмент,2020-10-07T15:12:57+0300,Полный день,"Подсчет объемов работ по рабочей документации. Приемка выполненных работ на соответствие относительно рабочей документации. (КС-2, КС-3, КС-6...","Стаж работы в строительных организациях в ПТО не менее 3 лет. Навыки работы со сметами, умение читать рабочую документацию. "
