name,area,salary_from,salary_to,employer_name,published_at,schedule,responsibility,requirement
Investment advisor (Private Banking),Тюмень,,,АТОН,2020-10-05T13:01:16+0300,Полный день,Профессиональное сопровождение капиталов крупных частных/семейных клиентов. Установление отношений и привлечение новых крупных частных и корпоративных клиентов. Оказание консультационных услуг...,"Опыт работы с состоятельными частными клиентами в Private Banking российских и зарубежных банков. Владение инструментарием финансовых рынков (ДУ, структурные продукты..."
Финансовый советник,Тюмень,,,АТОН,2020-10-05T13:01:17+0300,Полный день,Профессиональное сопровождение капиталов крупных частных клиентов. Привлечение новых крупных частных и корпоративных клиентов. Оказание консультационных услуг по вопросам защиты и...,"Опыт работы с состоятельными частными клиентами в инвестиционных компаниях и/или банках. Навыки продаж, консультирования и ведения клиентов. Коммуникабельность, респектабельность. "
Менеджер по продажам лабораторного оборудования и медицинских расходных материалов,Тюмень,,,"БиоЛайн, Группа компаний",2020-10-08T16:22:42+0300,Полный день,"Медицинского оборудования и расходных материалов. Обучение и консультативная поддержка лабораторий, медицинских и. Решения, которые помогают вывести качество лабораторных исследований и. ",
Водитель,Тюмень,80000,,Сервис заказа такси «НонСтоп»,2020-10-09T12:34:04+0300,Гибкий график,Оказание услуг по перевозке пассажиров и багажа. Содержание автомобиля в технически исправном состоянии и чистоте.,Открытые категории В. Стаж работы водителем категории В не менее 3 лет. Знание города. Ответственное отношение к работе.
Специалист по продаже недвижимости,Тюмень,70000,,Метрика Недвижимость,2020-09-22T07:57:01+0300,Гибкий график,"Качественная работа с клиентами компании по покупке и продаже недвижимости (новостройки, вторичный, загородный рынок г. Тюмени и Санкт-Петербурга). ","Желание зарабатывать от 70 т.р. и улучшать свое благосостояние. Стремление развиваться в сфере продаж и недвижимости, стать профессионалом. "
Разработчик баз данных,Тюмень,70000,120000,Компания maxim,2020-10-09T14:27:17+0300,Полный день,,"Человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть..."
Менеджер по работе с клиентами в сфере недвижимости,Тюмень,70000,80000,"Этажи, федеральная компания",2020-10-14T06:46:19+0300,Полный день,Организация сделок с недвижимостью. Анализ рынка и объектов недвижимости. Ведение базы объектов и клиентов. Поддержание долгосрочных профессиональных отношений с клиентами. ,"Коммуникабельность‚ инициативность, активность. Лидерский потенциал, высокий уровень ответственности. Позитивное отношение к жизни."
Риэлтор,Тюмень,70000,,Метрика Недвижимость,2020-09-22T07:57:01+0300,Гибкий график,Заключение и сопровождение сделок по покупке/продаже недвижимости. Организация показов и просмотров объектов недвижимости. Ведение переговоров с потенциальными клиентами. ,
Риэлтор,Тюмень,60000,70000,"Этажи, федеральная компания",2020-10-13T13:32:32+0300,Полный день,Презентация риэлторской услуги. Заключение договоров на оказание риэлторских услуг. Подбор и презентация объектов недвижимости. Сопровождение сделок покупки-продажи.,Готовность работать на результат. Способность найти подход к каждому клиенту. Опыт работы в продажах будет преимуществом. Желание учиться новому и...
Водитель-экспедитор (по доставке товаров до торговых объектов),Тюмень,60500,71500,"МАГНИТ, Розничная сеть",2020-10-12T14:31:25+0300,Сменный график,Доставка товара по магазинам и гипермаркетам компании в обслуживаемом регионе. Доставка продукции от поставщиков на автомобилях марок MAN с прицепом. ,Опыт работы на грузовых автомобилях. Наличие водительского удостоверения категорий Е.
Консультант/Агент по недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-14T10:11:57+0300,Полный день,"Анализ рынка и объектов недвижимости, подбор в интересах клиента. Поиск и подбор объектов под потребности клиента в специализированной программе компании. ","Высшее/средне-специальное образование. Отличные коммуникативные навыки, способность найти подход к каждому клиенту. Навыки проведения деловых переговоров. Наличие амбициозных целей..."
Менеджер/Специалист по недвижимости,Тюмень,60000,,"Этажи, федеральная компания",2020-10-13T19:36:11+0300,Полный день,"Анализ рынка и объектов недвижимости, подбор в интересах клиента. Предварительная оценка недвижимости. Организация проверки сделки на юридическую безопасность и консультирование...","Высшее / средне-специальное образование. Опыт руководящей работы / опыт в продажах будет преимуществом. Отличные коммуникативные навыки, способность найти подход к каждому..."
"Специалист по работе с клиентами (направление ""Недвижимость"")",Тюмень,60000,,"Этажи, федеральная компания",2020-10-13T19:36:11+0300,Полный день,"Анализ рынка и объектов недвижимости, подбор в интересах клиента. Предварительная оценка недвижимости. Организация проверки сделки на юридическую безопасность и консультирование...","Высшее / средне-специальное образование. Опыт руководящей работы / опыт в продажах будут преимуществом. Отличные коммуникативные навыки, способность найти подход к каждому..."
Менеджер по продажам жилой недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-09-30T10:18:59+0300,Полный день,"Ведение базы объектов и клиентов, поддержание долгосрочных профессиональных отношений с клиентами. Привлечение новых клиентов. Анализ рынка и объектов недвижимости. ","Образование средне-специальное, неоконченное высшее, высшее. Отличные коммуникативные навыки, способность найти подход к каждому клиенту. Организаторские способности. Целеустремленность, ответственность. "
Специалист по продаже недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-13T06:39:15+0300,Полный день,Сопровождение сделки по продаже/покупке недвижимости. Ведение базы объектов и клиентов. Поддержание долгосрочных профессиональных отношений с клиентами. Привлечение новых клиентов. ,"Коммуникабельность‚ инициативность, активность. Нацеленность на достижение материального и карьерного успеха в работе. Позитивное отношение к жизни. Опыт работы в продажах..."
Менеджер по продаже недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-14T06:46:15+0300,Полный день,Сопровождение сделки по продаже/покупке недвижимости. Ведение базы объектов и клиентов. Поддержание долгосрочных профессиональных отношений с клиентами. Привлечение новых клиентов. ,"Коммуникабельность‚ инициативность, активность. Нацеленность на достижение материального и карьерного успеха в работе. Позитивное отношение к жизни. Опыт работы в продажах..."
Менеджер по сопровождению сделок с недвижимостью,Тюмень,70000,,"Этажи, федеральная компания",2020-10-13T16:04:32+0300,Полный день,"Анализ рынка и объектов недвижимости, подбор в интересах клиента. Поиск и подбор объектов под потребности клиента в специализированной программе компании. ","Высшее/средне-специальное образование. Отличные коммуникативные навыки, способность найти подход к каждому клиенту. Желание много зарабатывать и готовность вкладывать в..."
Менеджер по продажам недвижимости,Тюмень,80000,,Метрика Недвижимость,2020-09-22T07:57:01+0300,Гибкий график,Деловые переговоры с потенциальными клиентами компании. Организация показов и просмотров объектов недвижимости. Сопровождение клиента от выбора объекта и до &quot;получения...,"Развитые коммуникативные навыки. Опыт работы в сфере продаж приветствуется, но не обязателен. Желание развиваться в сфере продаж и недвижимости, стать..."
Специалист по недвижимости (Риелтор),Тюмень,60000,,"Этажи, федеральная компания",2020-10-14T06:47:40+0300,Полный день,"Организация сделок с недвижимостью. Анализ рынка и объектов недвижимости. Подбор вариантов, предварительная оценка недвижимости. Ведение базы объектов и клиентов. ",Готовность работать на результат. Способность найти подход к каждому клиенту. Опыт управленческой и организаторской работы будет вашим преимуществом. Владение ПК. 
Агент по сбору заявок на подключение,Тюмень,15000,,Билайн ШПД,2020-10-14T14:00:05+0300,Гибкий график,Помогать клиентам: рассказывать о тарифах и услугах Компании. Собирать заявки на подключение телевидения и интернета Билайн.Будешь много общаться с людьми...,Готов много общаться‚ узнавать и запоминать новую информацию. - Позитивно относишься к людям.
Начинающий специалист в отдел продаж,Тюмень,20000,,Билайн ШПД,2020-10-14T14:00:05+0300,Гибкий график,Помогать клиентам: рассказывать о тарифах и услугах Компании. - Собирать заявки на подключение телевидения и интернета Билайн.Будешь много общаться с людьми...,
Главный инженер проекта,Тюмень,,,НИПИГАЗ,2020-10-02T17:55:25+0300,Полный день,"Организация процесса проектирования технологических объектов и объектов общезаводского хозяйства: Планирование работ, разработка графиков. Контроль сроков выполнения работ. Сопровождение проекта во...",Высшее техническое образование. Знание НТД и ФЗ в проектной деятельности. Опыт проектирования технологических объектов. Опыт планирование проектных работ. 
Менеджер по продажам на телефоне,Тюмень,20000,,Билайн ШПД,2020-10-11T13:38:44+0300,Удаленная работа,Продавать услуги проводного доступа в интернет и цифрового телевидения одной из самых крупных телекоммуникационных компаний России. Заводить заявки на проведение...,"В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и..."
Специалист по работе с недвижимостью,Тюмень,70000,,"Этажи, федеральная компания",2020-10-13T07:15:18+0300,Полный день,"Консультации клиентов, подбор объектов, презентация вариантов. Ведение переговоров, организация и проведение просмотров/показов. Обработка потока входящих заявок в компанию +...","Стремление к улучшению своего материального положения, независимости. Целеустремленность, активная жизненная позиция, развитые коммуникативные навыки. Опыт работы в продажах, клиентской сфере..."
Начинающий специалист,Тюмень,33000,,МТС,2020-10-14T09:59:32+0300,Гибкий график,"Продвигать услуги домашнего Интернета и цифрового телевидения. Возможность развития как в продажах, так и в других подразделениях компании.",
Агент по недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-07T07:16:28+0300,Полный день,Сопровождение сделок опытным юристом и ипотечным брокером.,"У тебя законченное или незаконченное высшее, среднее специальное образование. Есть опыт работы с клиентами/ опыт продаж от 1 года и..."
HR BP/Региональный менеджер по персоналу,Тюмень,80000,,"Этажи, федеральная компания",2020-10-12T07:47:33+0300,Полный день,"Дистанционное сопровождение филиалов по всем вопросам HR-Цикла: подбора. адаптации, обучения и развития персонала. Выстраивание HR-процессов в закрепленных городах. ","Работа в сфере персонала, а именно: опыт подбора и адаптации персонала. Результативный опыт выстраивания бизнес-процессов и их адаптации в..."
Программист 1С,Тюмень,50000,80000,ГК ТюмБИТ,2020-10-14T11:26:30+0300,Полный день,"Разработка и внедрение программного обеспечения для стационаров и поликлиник, клинических лабораторий, включая услуги по автоматизации учета пациентов и лекарственных средств...",Образованием: высшее/ неполное высшее. Знанием основ программирования на платформе 1С. Стремлением к профессиональному росту. Желанием работать в интенсивно развивающемся...
Программист-разработчик 1С,Тюмень,40000,,ГК ТюмБИТ,2020-10-14T11:26:30+0300,Полный день,"Разработка нового функционала на платформе 1С по техническим заданиям. Анализ программного кода, доработка, адаптация типовых конфигураций под требования заказчиков. ",Образованием: высшее/ неполное высшее. Знанием основ программирования на платформе 1С. Опытом работы программистом от 1 года. Стремлением к профессиональному...
Специалист call-центра,Тюмень,30000,,ЭР-Телеком,2020-09-28T09:32:25+0300,Гибкий график,"ЧТО ДЕЛАТЬ? Работать с абонентами по телефону в офисе. Проводить презентацию услуг (HD TV, Интернет, Телефония). Консультировать по тарифам, акциям...",
Менеджер по покупке и продаже недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-12T08:17:37+0300,Полный день,Подбор и показ объектов недвижимости. Сопровождение и проведение сделок по покупке и продаже недвижимости. Привлечение клиентов. Ведение переговоров. ,"Желание развиваться в сфере недвижимости. Среднее специальное, высшее или неоконченное высшее образование. Готовность к обучению. Коммуникабельность, стрессоустойчивость, активность и целеустремленность."
Специалист в сфере недвижимости,Тюмень,60000,,"Этажи, федеральная компания",2020-10-14T07:37:16+0300,Гибкий график,Организация сделок с недвижимостью (при поддержке команды профессионалов). Анализ рынка и объектов недвижимости. Ведение базы объектов и клиентов. Презентация объектов. ,"Образование средне-специальное, незаконченное высшее, высшее. Готовность работать на результат. Опыт работы в продажах будет вашим преимуществом. Опыт управленческой и..."
Специалист по работе с клиентами (недвижимость),Тюмень,70000,80000,"Этажи, федеральная компания",2020-10-14T07:20:11+0300,Полный день,Презентация риэлторской услуги. Заключение договоров на оказание риэлторских услуг. Подбор и презентация объектов недвижимости. Сопровождение сделок покупки-продажи.,Готовность работать на результат. Способность найти подход к каждому клиенту. Опыт работы в продажах будет преимуществом. Желание учиться новому и...
Специалист по работе с клиентами (Направление Недвижимость),Тюмень,70000,,"Этажи, федеральная компания",2020-10-14T07:07:55+0300,Полный день,"Привлечение клиентов, консультации, проведение деловых переговоров. Занесение информации об объектах, заявках в информационную базу компании. Организация просмотров и показов объектов...","Открытость, желание развиваться. Навыки коммуникаций и ведения переговоров. Навыки планирования. Нацеленность на достижение поставленных целей и задач. Самостоятельность, ответственность, обучаемость..."
Специалист по недвижимости (Риэлтор),Тюмень,70000,,"Этажи, федеральная компания",2020-10-08T07:08:42+0300,Полный день,,у тебя высшее или среднее специальное образование. - есть опыт работы с клиентами/ опыт продаж от 1 года.
Агент - расклейщик,Тюмень,15000,,Билайн ШПД,2020-10-14T13:50:35+0300,Гибкий график,"Расклеивать рекламную продукцию (листовки) на придомовой территории. Общаться с людьми ,консультировать. Раскидывать листовки в почтовые ящики потенциальных клиентов. ","Желание развиваться, работать и получать опыт в сфере продвижения услуг, остальному - научим. Мобильность. Готовность к динамичному темпу работы. "
Менеджер по активным продажам,Тюмень,15000,50000,Росгосстрах,2020-10-14T13:22:55+0300,Гибкий график,"Консультирование клиентов, помощь в выборе страховых продуктов компании. Работа с клиентами (проведение встреч и переговоров, активный поиск клиентов для увеличения...","Активность и коммуникабельность. Стремление освоить новую профессию. Клиентоориентированность и стрессоустойчивость. Обучаемость, желание развиваться и строить карьеру в сфере страхования."
Специалист по работе с потенциальными клиентами,Тюмень,28000,76000,Строительный Двор,2020-10-09T14:02:55+0300,Полный день,"работа с теплой базой клиентов (малоэтажное строительство,строительные бригады). - привлечение потенциальных и потерянных клиентов. - профессиональное консультирование по товару. - ","высшее образование (желательно). - трудолюбие, оптимизм. - аккуратность и внимательность в работе. - исполнительность."
Менеджер по продажам (недвижимость),Тюмень,70000,,"Этажи, федеральная компания",2020-10-13T19:36:11+0300,Полный день,Сопровождение сделки по продаже/покупке недвижимости. Ведение базы объектов и клиентов. Поддержание долгосрочных профессиональных отношений с клиентами. Привлечение новых клиентов. ,"Коммуникабельность‚ инициативность, активность. Нацеленность на достижение материального и карьерного успеха в работе. Позитивное отношение к жизни. Опыт работы в продажах..."
Электросварщик (НАКС НГДО),Тюмень,90000,100000,ПремьерСтройДизайн,2020-10-02T15:33:53+0300,Вахтовый метод,Сварка труб различного диаметра.,Чтение схем и чертежей. Требования: Наличие квалификационных документов. Наличие действующего удостоверения НАКС (желательно).
Электросварщик (НАКС СК),Тюмень,80000,80000,ПремьерСтройДизайн,2020-10-02T15:33:53+0300,Вахтовый метод,Сварка различных СК и ЖБК.,Чтение схем и чертежей. Требования: Наличие квалификационных документов. Наличие действующего удостоверения НАКС (желательно).
Слесарь КИПиА,Тюмень,72000,72000,ПремьерСтройДизайн,2020-10-02T15:33:53+0300,Вахтовый метод,"Обслуживание, ремонт различного контрольно-измерительного оборудования и систем автоматического управления.","Наличие удостоверения, опыт работы."
Региональный управляющий (Regional Sales Manager),Тюмень,70000,,"Этажи, федеральная компания",2020-10-12T07:47:36+0300,Полный день,"Региональный управляющий - автономный руководитель, который управляет от 15 до 25 офисами компании в различных регионах, и отвечающий за организацию и...","Успешный опыт управления командой в коммерческой структуре. Высокую HR компетенцию. Развитые навыки аналитики, умение “читать” цифровые данные. Высокие коммуникативные навыки..."
Менеджер по работе с недвижимостью,Тюмень,60000,,"Этажи, федеральная компания",2020-10-14T07:37:14+0300,Полный день,"Ведение базы объектов и клиентов, поддержание долгосрочных профессиональных отношений с клиентами. Привлечение новых клиентов. Анализ рынка и объектов недвижимости. ",Высшее/среднее-специальное образование. Опыт работы в продажах (если нет – научим!). Желание учиться новому и развиваться. Активная жизненная позиция и...
Инженер строительного контроля по общестроительным работам,Тюмень,90000,,Свис Инжиниринг Груп,2020-10-12T12:10:43+0300,Вахтовый метод,"Осуществление контроля качества земляных, общестроительных работ на объекте. Проверка исполнительной документации. Своевременное выявление нарушений качества СМР. Контроль за устранением нарушений. ","Высшее техническое образование обязательно, желательно ПГС. Опыт в строительстве. Опыт работы в строительстве в должности ИТР. Опыт проведения строительного контроля..."
Специалист по продаже/покупке недвижимости,Тюмень,60000,,"Этажи, федеральная компания",2020-09-30T10:18:54+0300,Полный день,"Анализ рынка и объектов недвижимости, подбор в интересах клиента. Предварительная оценка недвижимости. Организация проверки сделки на юридическую безопасность и консультирование...","Высшее/средне-специальное образование. Отличные коммуникативные навыки, способность найти подход к каждому клиенту. Навыки проведения деловых переговоров. Наличие амбициозных целей..."
Телемаркетолог,Тюмень,20000,25000,СИЛУЭТ,2020-10-13T07:23:09+0300,Гибкий график,Консультация клиентов по услугам и акциям компаний. Реклама компании \ без продаж и поиска клиентов. Согласование встреч. Составление заявок.,"Активность, грамотная речь, нацеленность на результат, желание обучаться и развиваться. Опыт телефонных продаж приветствуется, но не обязателен. Грамотная речь, знание..."
Оператор call-центра,Тюмень,24000,,СИЛУЭТ,2020-10-13T07:23:09+0300,Гибкий график,Исходящие звонки. Консультирование клиентов об акциях. Согласование встреч с клиентами. Обеспечение клиентского потока.,Грамотная речь. Коммуникабельность. Обучаемость. Нацеленность на результат.
Android разработчик,Тюмень,50000,200000,Компания maxim,2020-10-09T14:27:18+0300,Полный день,,"Знание ООП и структуры данных, понимание принципов SOLID. Опыт разработки на Java или Kotlin для Android. Знание Android SDK, понимание..."
Специалист по записи клиентов на прием (работа телефонного характера),Тюмень,20000,25000,СИЛУЭТ,2020-10-13T07:23:09+0300,Гибкий график,Исходящие звонки. Консультирование клиентов. Обеспечение клиентского потока. Реклама компании (без продаж). Обзвон потенциальных и существующих клиентов для выявления потребностей.,"Активность,грамотная речь, нацеленность на результат. Опыт работы в телефонных переговорах, умение грамотно вести переговоры. Знание делового этикета. Коммуникабельность,стрессоустойчивость. "
Оператор call-центра в многопрофильный центр,Тюмень,22000,,СИЛУЭТ,2020-10-13T07:23:09+0300,Гибкий график,"Работа телефонного характера (без поиска,без продаж). Запись на приём к специалистам клиники. Переговоры с клиентами с целью проведения рекламы...","Опыт работы с клиентами будет вашим преимуществом. Доброжелательность,ответственность,стрессоустойчивость. Нацеленность на результат."
Менеджер по продажам (без поиска),Тюмень,29000,,СИЛУЭТ,2020-10-13T07:23:09+0300,Сменный график,Консультирование клиентов по всему спектру предоставляемых услуг. Ведение переговоров. Выявление потребностей. Заключение и оформление договоров. Организация полного цикла оказания услуг...,Умение находить подход к клиентам. Желателен опыт работы в продажах. Коммуникабельность. Нацеленность на результат. Огромное желание развиваться в данном направлении. 
Специалист по продаже жилой недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-13T19:36:11+0300,Полный день,"Анализ рынка и объектов недвижимости, подбор в интересах клиента. Предварительная оценка недвижимости. Организация проверки сделки на юридическую безопасность и консультирование...","Высшее/среднее специальное образование. Отличные коммуникативные навыки, способность найти подход к каждому клиенту. Навыки проведения деловых переговоров. Наличие амбициозных целей..."
РИЭЛТОР,Тюмень,60000,,"Этажи, федеральная компания",2020-10-13T19:36:11+0300,Полный день,"Привлечение новых клиентов. Ведение базы. Консультирование клиентов (подбор объектов, показы). Организация сделок с недвижимостью (при поддержке команды профессионалов).","Образование средне-специальное, незаконченное высшее и высшее. Готовность работать на результат. Способность найти подход к каждому клиенту. Опыт работы в..."
Специалист по недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-14T07:07:58+0300,Полный день,"Сопровождение имеющихся клиентов и привлечение новых. Подбор подходящих объектов недвижимости для клиентов. Ведение и обновление базы объектов. Показ объектов, соответствующих...","Образование среднее специальное, неоконченное высшее и высшее. Желание учиться новому и развиваться. Активная жизненная позиция и ориентация на достижение результата. "
Специалист отдела продаж,Тюмень,60000,,"Этажи, федеральная компания",2020-10-13T19:36:11+0300,Полный день,"Анализ рынка и объектов недвижимости, подбор в интересах клиента. Предварительная оценка недвижимости. Организация проверки сделки на юридическую безопасность и консультирование...","Высшее / средне-специальное образование. Опыт руководящей работы / опыт в продажах будут преимуществом. Отличные коммуникативные навыки, способность найти подход к каждому..."
Риэлтор по аренде,Тюмень,47000,,"Этажи, федеральная компания",2020-10-14T07:37:11+0300,Полный день,"Оказание услуг клиентам по сдаче-аренде квартир. Общение с клиентами, консультирование, подбор для клиентов подходящих вариантов. Заключение договоров.","Среднее специальное или Высшее образование. Обучаемость, организованность, ответственность. Клиентоориентированность. Нацеленность на результат. Активность, мобильность."
Риэлтор по продаже недвижимости,Тюмень,70000,,"Этажи, федеральная компания",2020-10-12T15:53:04+0300,Полный день,"Сопровождение имеющихся клиентов и привлечение новых. Подбор подходящих объектов недвижимости для клиентов. Ведение и обновление базы объектов. Показ объектов, соответствующих...","Образование среднее специальное, неоконченное высшее и высшее. Опыт работы в продажах (если нет – научим!). Опыт управленческой и организаторской работы будет..."
Агент по работе с недвижимостью,Тюмень,70000,,"Этажи, федеральная компания",2020-10-06T10:55:56+0300,Полный день,"Анализ рынка и объектов недвижимости. Сопровождение имеющихся клиентов и привлечение новых, поддержание долгосрочных отношений с клиентами. Консультация клиентов по предоставляемым...","Высшее/среднее специальное образование. Отличные коммуникативные навыки, способность найти подход к каждому клиенту. Навыки проведения деловых переговоров будут преимуществом. "
SEO-специалист,Тюмень,60000,90000,Академия современных технологий,2020-10-11T08:28:33+0300,Полный день,"Технический аудит, оптимизация и продвижение сайтов (если ещё остались силы - переходим на развитие федеральных порталов). Оптимизация функционала и структуры сайтов...",Опыт в SEO от 2 лет. Наличие портфолио успешных кейсов SEO со статистикой. Законченное образование. Выдается тестовое задание.
Агент по продаже недвижимости,Тюмень,65000,,Метрика Недвижимость,2020-10-13T06:33:18+0300,Гибкий график,Качественные помощь и консультации по покупке/продаже недвижимости в Тюмени. Ведение базы клиентов и их полное сопровождение. Подбор и презентация...,"Желание зарабатывать выше среднего. Коммуникативные навыки: правильная, грамотно организованная речь. Клиентоориентированность. Активность, инициативность. Позитивное мышление. Презентабельный и опрятный внешний вид. "
Менеджер по оптовым продажам строительных материалов (г. Тюмень),Тюмень,70000,,ТСК Групп,2020-10-12T07:39:16+0300,Полный день,"Поиск клиентов территория г. Тюмень (формат и способы не ограничиваем – «холодные» звонки, выезды и т.д.). Переговоры, заключение договоров. ",Образование средне-специальное законченное. Опыт работы в активных продажах от 2 лет. Знание рынка строительных материалов (приветствуется). Знание программы 1...
Менеджер по продаже недвижимости,Тюмень,70000,,Метрика Недвижимость,2020-10-13T12:15:12+0300,Гибкий график,Помощь и консультация по покупке/продаже недвижимости в Тюмени. Ведение базы клиентов и их полное сопровождение: привлечение+ работа с входящими...,Любовь к людям. Желание зарабатывать. Грамотная речь. Активность. Позитивное мышление. Опрятный и презентабельный внешний вид. Образование не ниже средне-специального.
